Date,Sales,Holiday_Flag
05-02-2010,1643690.9,0
12-02-2010,1641957.44,1
19-02-2010,1611968.17,0
26-02-2010,1409727.59,0
05-03-2010,1554806.68,0
12-03-2010,1439541.59,0
19-03-2010,1472515.79,0
26-03-2010,1404429.92,0
02-04-2010,1594968.28,0
09-04-2010,1545418.53,0
16-04-2010,1466058.28,0
23-04-2010,1391256.12,0
30-04-2010,1425100.71,0
07-05-2010,1603955.12,0
14-05-2010,1494251.5,0
21-05-2010,1399662.07,0
28-05-2010,1432069.95,0
04-06-2010,1615524.71,0
11-06-2010,1542561.09,0
18-06-2010,1503284.06,0
25-06-2010,1422711.6,0
02-07-2010,1492418.14,0
09-07-2010,1546074.18,0
16-07-2010,1448938.92,0
23-07-2010,1385065.2,0
30-07-2010,1371986.6,0
06-08-2010,1605491.78,0
13-08-2010,1508237.76,0
20-08-2010,1513080.49,0
27-08-2010,1449142.92,0
03-09-2010,1540163.53,0
10-09-2010,1507460.69,1
17-09-2010,1430378.67,0
24-09-2010,1351791.03,0
01-10-2010,1453329.5,0
08-10-2010,1508239.93,0
15-10-2010,1459409.1,0
22-10-2010,1345454,0
29-10-2010,1384209.22,0
05-11-2010,1551659.28,0
12-11-2010,1494479.49,0
19-11-2010,1483784.18,0
26-11-2010,1955624.11,1
03-12-2010,1548033.78,0
10-12-2010,1682614.26,0
17-12-2010,1891034.93,0
24-12-2010,2387950.2,0
31-12-2010,1367320.01,1
07-01-2011,1444732.28,0
14-01-2011,1391013.96,0
21-01-2011,1327405.42,0
28-01-2011,1316899.31,0
04-02-2011,1606629.58,0
11-02-2011,1649614.93,1
18-02-2011,1686842.78,0
25-02-2011,1456800.28,0
04-03-2011,1636263.41,0
11-03-2011,1553191.63,0
18-03-2011,1576818.06,0
25-03-2011,1541102.38,0
01-04-2011,1495064.75,0
08-04-2011,1614259.35,0
15-04-2011,1559889,0
22-04-2011,1564819.81,0
29-04-2011,1455090.69,0
06-05-2011,1629391.28,0
13-05-2011,1604775.58,0
20-05-2011,1428218.27,0
27-05-2011,1466046.67,0
03-06-2011,1635078.41,0
10-06-2011,1588948.32,0
17-06-2011,1532114.86,0
24-06-2011,1438830.15,0
01-07-2011,1488538.09,0
08-07-2011,1534849.64,0
15-07-2011,1455119.97,0
22-07-2011,1396926.82,0
29-07-2011,1352219.79,0
05-08-2011,1624383.75,0
12-08-2011,1525147.09,0
19-08-2011,1530761.43,0
26-08-2011,1464693.46,0
02-09-2011,1550229.22,0
09-09-2011,1540471.24,1
16-09-2011,1514259.78,0
23-09-2011,1380020.27,0
30-09-2011,1394561.83,0
07-10-2011,1630989.95,0
14-10-2011,1493525.93,0
21-10-2011,1502562.78,0
28-10-2011,1445249.09,0
04-11-2011,1697229.58,0
11-11-2011,1594938.89,0
18-11-2011,1539483.7,0
25-11-2011,2033320.66,1
02-12-2011,1584083.95,0
09-12-2011,1799682.38,0
16-12-2011,1881176.67,0
23-12-2011,2270188.99,0
30-12-2011,1497462.72,1
06-01-2012,1550369.92,0
13-01-2012,1459601.17,0
20-01-2012,1394393.84,0
27-01-2012,1319325.59,0
03-02-2012,1636339.65,0
10-02-2012,1802477.43,1
17-02-2012,1819870,0
24-02-2012,1539387.83,0
02-03-2012,1688420.76,0
09-03-2012,1675431.16,0
16-03-2012,1677472.78,0
23-03-2012,1511068.07,0
30-03-2012,1649604.63,0
06-04-2012,1899676.88,0
13-04-2012,1621031.7,0
20-04-2012,1521577.87,0
27-04-2012,1468928.37,0
04-05-2012,1684519.99,0
11-05-2012,1611096.05,0
18-05-2012,1595901.87,0
25-05-2012,1555444.55,0
01-06-2012,1624477.58,0
08-06-2012,1697230.96,0
15-06-2012,1630607,0
22-06-2012,1527845.81,0
29-06-2012,1540421.49,0
06-07-2012,1769854.16,0
13-07-2012,1527014.04,0
20-07-2012,1497954.76,0
27-07-2012,1439123.71,0
03-08-2012,1631135.79,0
10-08-2012,1592409.97,0
17-08-2012,1597868.05,0
24-08-2012,1494122.38,0
31-08-2012,1582083.4,0
07-09-2012,1661767.33,1
14-09-2012,1517428.87,0
21-09-2012,1506126.06,0
28-09-2012,1437059.26,0
05-10-2012,1670785.97,0
12-10-2012,1573072.81,0
19-10-2012,1508068.77,0
26-10-2012,1493659.74,0
